Date,Merchant,Amount,Category
2023-08-08,"BCF - VANIS, SPIRIT OF VICTORIA, BC",9.01,EDUCATION
2023-08-08,"CALGARY TRANSIT CALGARY, AB",3.6,TRAVEL
2023-08-08,"THE SURLY MERMAID SIDNEY, BC",47.05,RESTAURANT
2023-08-08,"LAILALAILA VICTORIA, BC",34.63,EDUCATION
2023-08-08,"SIDNEY BAKERY SIDNEY, BC",6.93,CAFE
2023-08-08,"BLUE FOX CAFE LTD VICTORIA, BC",48.1,CAFE
2023-08-08,"STARBUCKS 800-782-7282 800-782-7282, ON",10.0,CAFE
2023-08-08,"SQ *RED FISH BLUE FISH VICTORIA, BC",23.1,EDUCATION
2023-08-08,"SP TASTE OF CALGARY CALGARY, AB",6.0,TRAVEL
2023-08-04,"WICKED HOSTELS CALGARY, AB",67.12,TRAVEL
2023-08-04,"SHOKU IZAKAYA BANFF, AB",40.43,TRAVEL
2023-08-04,"BANFF HOT SPRINGS POOL BANFF, AB",33.0,TRAVEL
2023-08-03,"HI-BANFF BANFF, AB",97.84,TRAVEL
2023-08-03,"FOOD & BEVERAGE, BANFF GO BANFF, AB",11.87,MARKET
2023-08-03,"CALGARY TRANSIT CALGARY, AB",3.6,TRAVEL
2023-08-03,"CALGARY TRANSIT CALGARY, AB",7.2,TRAVEL
2023-08-03,"COMPASS ACCOUNT BURNABY, BC",8.15,UTILITY
2023-08-02,"BCF-TSA SELF SERVE TICKET DELTA, BC",38.4,UTILITY
2023-08-02,"SUSHI MURA VANCOUVER, BC",22.0,RESTAURANT
2023-08-02,VIATORTRIPADVISOR UK LONDON,310.0,TRAVEL
2023-08-02,"BCF - COASTAL CELEBRATION VICTORIA, BC",7.54,EDUCATION
2023-08-02,"SQ *UMI JAPANESE EATERY & Richmond, BC",18.9,RESTAURANT
2023-08-02,AIRBNB * HM455EMKHJ AIRBNB.COM,57.77,UTILITY
2023-08-02,TRIP.COM London,341.0,TRAVEL
2023-08-01,"TIM HORTONS #2807 VANCOUVER, BC",8.38,CAFE
2023-08-01,"FIVE GUYS BURGERS & FR 604-685-1585, BC",30.42,RESTAURANT
2023-08-01,"LYNN CANYON CAFE NORTH VANCOUV, BC",10.23,CAFE
2023-07-31,"COMPASS VENDING BURNABY, BC",20.0,UTILITY
2023-07-31,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,MARKET
2023-07-31,"ARCTERYX Equipment RIchmond, BC",50.4,OFFLINE
2023-07-31,"PIZZA PZAZZ VANCOUVER, BC",6.5,RESTAURANT
2023-07-31,"SP STUSSY VANCOUVER VANCOUVER, BC",56.0,OFFLINE
2023-07-31,"STUART'S VANCOUVER, BC",8.92,RESTAURANT
2023-07-31,"HANNAM SUPERMARKET ROB VANCOUVER, BC",12.36,MARKET
2023-07-31,"BELL MOBILITY VERDUN, QC",87.36,UTILITY
2023-07-31,"H-MART DOWNTOWN VANCOUVER, BC",10.97,MARKET
2023-07-31,"D'ORO GELATO E CAFFE VANCOUVER, BC",14.28,CAFE
2023-07-28,"DAISO CANADA CO LTD VANCOUVER, BC",2.81,MARKET
2023-07-28,"TACOFINO GASTOWN VANCOUVER, BC",30.03,RESTAURANT
2023-07-28,"SP STUSSY VANCOUVER VANCOUVER, BC",56.0,OFFLINE
2023-07-28,"COMPASS VENDING BURNABY, BC",20.0,UTILITY
2023-07-27,"SORRY COFFEE CO. NORTH VANCOUV, BC",4.99,CAFE
2023-07-27,"HONEY DOUGHNUTS AND GO NORTH VANCOUV, BC",3.7,CAFE
2023-07-27,"STARBUCKS COFFEE #2237 VANCOUVER, BC",20.0,CAFE
2023-07-27,"STARBUCKS 800-782-7282 800-782-7282, ON",25.0,CAFE
2023-07-26,"WINNERS 452 VANCOUVER, BC",5.59,OFFLINE
2023-07-26,"CINEPLEX #1145 VANCOUVER, BC",18.88,CULTURE
2023-07-26,"Five Guys 1594 Vancouver, BC",32.31,RESTAURANT
2023-07-25,"STARBUCKS 04771 VANCOUVER, BC",4.57,CAFE
2023-07-25,"LA VIE EN ROSE # 139 VANCOUVER, BC",27.99,OFFLINE
2023-07-25,"LA VIE EN ROSE # 139 VANCOUVER, BC",31.35,OFFLINE
2023-07-25,"H-MART DOWNTOWN VANCOUVER, BC",35.59,MARKET
2023-07-25,"OEB YALETOWN VANCOUVER, BC",42.85,RESTAURANT
2023-07-24,"COMPASS VENDING BURNABY, BC",20.0,UTILITY
2023-07-24,"WINNERS 358 VANCOUVER, BC",22.39,OFFLINE
2023-07-24,"PIZZA PZAZZ VANCOUVER, BC",6.5,RESTAURANT
2023-07-24,BLDZETY.COMRESUME 8446737863,34.95,OTHER
2023-07-24,"HUDSON HOUSE TR VANCOUVER, BC",8.95,ONLINE
2023-07-24,"STARBUCKS COFFEE #2237 VANCOUVER, BC",20.0,CAFE
2023-07-24,"STUART'S VANCOUVER, BC",6.88,RESTAURANT
2023-07-21,"STARBUCKS 04574 VANCOUVER, BC",11.13,CAFE
2023-07-21,"OLD SPAGHETTI GASTOWN VANCOUVER, BC",45.91,RESTAURANT
2023-07-21,"SQ *LOCAL KITSILANO Vancouver, BC",54.52,RESTAURANT
2023-07-21,"49TH PARALLEL ROASTERS VANCOUVER, BC",9.45,CAFE
2023-07-20,"POPARIDE VANCOUVER, BC",51.98,UTILITY
2023-07-20,"COCO FRESH TEA AND JUICE VANCOUVER, BC",13.02,CAFE
2023-07-20,"SHOWPASS* POOLS-VAN-EL CALGARY, AB",16.44,TRAVEL
2023-07-20,"COMPASS VENDING BURNABY, BC",20.0,UTILITY
2023-07-18,"T&T SUPERMARKET #025 VANCOUVER, BC",2.8,MARKET
2023-07-18,"BISTRO CHI-Q VICTORIA, BC",8.94,EDUCATION
2023-07-18,"BCF-SWB SELF SERVE TICKET SIDNEY, BC",19.2,UTILITY
2023-07-18,"UVIC BOOKSTORE VICTORIA, BC",4.2,EDUCATION
2023-07-18,"CHARLIES TENNIS VANCOUVER, BC",40.0,WORKOUT
2023-07-17,"SQ *HODUYA BAKERY VANCOUVER, BC",24.15,CAFE
2023-07-17,VIATORTRIPADVISOR UK LONDON,138.6,TRAVEL
2023-07-17,"SQ *HODUYA BAKERY VANCOUVER, BC",35.7,CAFE
2023-07-17,"T&T SUPERMARKET #003 VANCOUVER, BC",8.96,MARKET
2023-07-14,"BCF - ONLINE SALES & BOOK VICTORIA, BC",76.8,EDUCATION
2023-07-13,AIRBNB * HM4S8RZXKK AIRBNB.COM,147.0,UTILITY
2023-07-13,"STARBUCKS 04426 RICHMOND, BC",9.35,CAFE
2023-07-12,"ANGUS T VANCOUVER, BC",11.13,CAFE
2023-07-12,"T&T SUPERMARKET #025 VANCOUVER, BC",5.86,MARKET
2023-07-12,AIRBNB * HM455EMKHJ AIRBNB.COM,75.46,UTILITY
2023-07-12,"Subway 66671 Richmond, BC",8.29,RESTAURANT
2023-07-12,TRIP.COM London,459.6,TRAVEL
2023-07-10,"BCF - ONLINE SALES & BOOK VICTORIA, BC",19.2,EDUCATION
2023-07-10,BLDZETY.COMRESUME 8446737863,2.95,OTHER
2023-07-06,"BELL MOBILITY VERDUN, QC",75.13,UTILITY
2023-07-05,"T&T SUPERMARKET #025 VANCOUVER, BC",11.83,MARKET
2023-07-04,"D'ORO GELATO E CAFFE VANCOUVER, BC",7.09,CAFE
2023-07-04,"DAIRY QUEEN #26988 VICTORIA, BC",6.29,UTILITY
2023-07-04,"BIN 4 BURGER LOUNGE (V) VICTORIA, BC",22.81,EDUCATION
2023-07-04,"CACTUS CLUB ENGLISH BA VANCOUVER, BC",42.31,RESTAURANT
2023-07-04,"SAVE ON FOODS VANCOUVER, BC",79.0,MARKET
2023-07-04,"T&T SUPERMARKET ONLINE RICHMOND, BC",61.98,MARKET
2023-07-04,"STARBUCKS 04326 VICTORIA, BC",10.61,CAFE
2023-06-29,"UVIC BOOKSTORE VICTORIA, BC",4.46,EDUCATION
2023-06-29,"PHO 37 RESTAURANT Vancouver, BC",18.43,RESTAURANT
2023-06-28,"CHARLIES TENNIS VANCOUVER, BC",40.0,WORKOUT
2023-06-28,"BCF - BC, SPIRIT OF VICTORIA, BC",5.97,EDUCATION
2023-06-28,"BCF - BC, SPIRIT OF VICTORIA, BC",3.45,EDUCATION
2023-06-28,"BEADWORKS STORE #2323 VANCOUVER, BC",27.89,RESTAURANT
2023-06-28,"AQUABUS FERRY VANCOUVER, BC",4.5,UTILITY
2023-06-23,ANNUAL FEE,99.0,OTHER
